LSOA
Tameside 003A
Oldham 035G
Manchester 015E
Rochdale 010G
Stockport 004B
Oldham 026A
Stockport 004D
Bolton 027A
Trafford 019B
Bury 015D
Manchester 012C
Wigan 012C
Tameside 003B
Trafford 017B
Bolton 015D
Rochdale 008G
Tameside 009C
Bolton 018B
Oldham 024D
Wigan 026D
Stockport 004C
Oldham 019A
Salford 025C
Rochdale 005B
Bolton 019E
Bury 015C
Oldham 029D
Wigan 024A
Oldham 022D
Manchester 009B
Oldham 019C
Oldham 007E
Manchester 006D
Tameside 028E
Salford 011C
Manchester 001B
Manchester 023B
Wigan 010B
Oldham 022E
Rochdale 023D
Manchester 031A
Manchester 041E
Tameside 013A
Rochdale 010F
Manchester 026A
Rochdale 012C
Wigan 017B
Manchester 035A
Bolton 013C
Bolton 022B
Oldham 010B
Wigan 010D
Manchester 004A
Manchester 021C
Bolton 012B
Bolton 033A
Manchester 002D
Tameside 008A
Stockport 002A
Manchester 042A
Rochdale 015B
Oldham 016E
Salford 001D
Bury 016E
Wigan 012A
Salford 029A
Rochdale 004A
Rochdale 004B
Manchester 021A
Bolton 027C
Tameside 008C
Tameside 020F
Manchester 006A
Manchester 002A
Manchester 011A
Bury 007D
Bury 018D
Bolton 013E
Tameside 028B
Trafford 018E
Manchester 009F
Bury 007E
Manchester 015D
Manchester 006C
Bolton 025A
Rochdale 008D
Manchester 011B
Oldham 030B
Manchester 009G
Manchester 023D
Salford 008D
Rochdale 009A
Manchester 009E
Bury 008C
Tameside 028D
Bolton 010B
Tameside 020C
Manchester 023E
Manchester 048B
Manchester 008B
Salford 019A
Oldham 014C
Bury 008E
Manchester 041B
Manchester 009A
Manchester 027B
Bolton 011C
Bolton 034D
Wigan 027B
Manchester 044B
Manchester 052A
Manchester 050A
Manchester 051C
Rochdale 010D
Rochdale 021C
Rochdale 008A
Oldham 035D
Manchester 050B
Manchester 007D
Rochdale 012F
Manchester 020A
Bolton 017A
Tameside 004E
Rochdale 012B
Rochdale 004D
Rochdale 015A
Salford 016A
Rochdale 016A
Salford 004A
Rochdale 010C
Wigan 009E
Oldham 030A
Wigan 010E
Rochdale 016C
Rochdale 008F
Tameside 013B
Manchester 051E
Manchester 008F
Bolton 010A
Bolton 010C
Trafford 004D
Oldham 018C
Bolton 027D
Manchester 031D
Bolton 015A
Bolton 025B
Manchester 023A
Manchester 049D
Wigan 010A
Rochdale 015E
Trafford 001D
Manchester 020E
Salford 004B
Tameside 006A
Manchester 009D
Bury 016D
Bury 011C
Oldham 014D
Manchester 030E
Manchester 017E
Manchester 012E
Manchester 048E
Manchester 040E
Bolton 029C
Trafford 019E
Oldham 029A
Bury 008F
Rochdale 009C
Salford 017B
Tameside 013C
Tameside 007A
Manchester 013C
Salford 021D
Salford 021E
Manchester 025E
Bolton 016F
Manchester 003D
Bolton 013A
Manchester 015G
Manchester 041C
Manchester 015C
Bury 021B
Oldham 022B
Manchester 008E
Manchester 035E
Manchester 030C
Stockport 026D
Manchester 050D
Bolton 023A
Manchester 027F
Tameside 020B
Bury 008B
Trafford 017E
Oldham 022A
Salford 011D
Manchester 049C
Tameside 018C
Trafford 001E
Oldham 016D
Bolton 025E
Oldham 035C
Trafford 001C
Oldham 035F
Manchester 041D
Manchester 030A
Manchester 013B
Tameside 004C
Bolton 021C
Bolton 023B
Manchester 024B
Oldham 027C
Manchester 028A
Manchester 015A
Wigan 005B
Bolton 033C
Manchester 058D
Manchester 008D
Wigan 017C
Manchester 049B
Manchester 049A
Bolton 021A
Bury 023A
Salford 029B
Manchester 044D
Manchester 027E
Rochdale 022D
Manchester 002B
Manchester 039C
Manchester 025D
Oldham 031C
Tameside 009D
Oldham 022C
Bolton 022A
Oldham 016A
Bolton 011B
Manchester 026E
Stockport 007D
Oldham 035A
Rochdale 012D
Manchester 007B
Manchester 027D
Manchester 040A
Bolton 015E
Wigan 024D
Rochdale 015D
Manchester 058A
Salford 021F
Bolton 011A
Manchester 037A
Manchester 030F
Manchester 007A
Oldham 011B
Oldham 030C
Bury 008A
Manchester 035B
Salford 022K
Salford 027D
Salford 024A
Manchester 020B
Manchester 022B
Wigan 037A
Oldham 016C
Oldham 014A
Manchester 017A
Oldham 016B
Bolton 016B
Manchester 022E
Manchester 018C
Manchester 028F
Salford 024C
Salford 009B
Manchester 024C
Trafford 001B
Oldham 024A
Salford 016B
Manchester 054A
Rochdale 012E
Rochdale 010B
Manchester 025B
Tameside 013D
Manchester 024A
Bolton 021E
Manchester 008A
Manchester 020C
Bolton 025C
Rochdale 015C
Salford 016D
Manchester 058B
Manchester 056D
Manchester 020D
Salford 023B
Bolton 021B
Manchester 018A
Bolton 023D
Salford 023A
Salford 028I
Manchester 008C
Wigan 030C
Rochdale 010E
Manchester 024D
Salford 028B
Oldham 024B
Manchester 027A
Manchester 059A
Manchester 018D
Trafford 001A
Manchester 059C
Manchester 022D
Manchester 027C
Manchester 056A
