latitude,longitude,sid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,npos,nneu,nneg,form3,form2,form1,form0,comment4,comment8,comment3,comment2,dur0,dur1,dur2,dur3,dur4,dur5,datetime,uid
53.5448962,-2.6320371,,0,-1,1,2,0,-1,0,1,0,-1,-2,2,1,-2,,5,4,5,9,WN1 1LN,1,1,(s4) undefined,(s12) undefined,(s11) undefined,(s14) undefined,90,8,58,0,0,25,30/05/2019 15:47,5300347
53.466681,-2.2335952,,0,1,2,-1,-2,0,1,2,-1,1,0,-2,-1,0,,5,4,5,2,M13 9PL,0,0,(s3) undefined,(s8) undefined,(s12) undefined,(s5) undefined,1153,742,390,0,0,22,30/05/2019 11:31,5301131
53.5991626,-2.3104469,,0,-2,-1,0,0,1,-1,2,-2,-1,2,1,1,0,,5,4,5,1,BL8 1AH,1,2,(s11) undefined,(s8) undefined,(s9) undefined,(s2) undefined,119,9,53,0,0,58,31/05/2019 13:13,5310113
53.4183151,-2.21399,,-1,2,-1,0,1,2,-2,1,0,0,1,0,-2,-1,,0,4,10,6,M19 1RS,1,2,(s6) undefined,(s2) undefined,(s13) undefined,(s7) undefined,87,9,46,0,0,32,31/05/2019 15:15,5310315
53.4701629,-2.2995834,,-1,0,2,0,1,1,2,0,1,-1,-2,-1,-2,0,,0,4,10,8,M17 1TZ,1,5,(s6) undefined,(s2) undefined,(s13) undefined,(s7) undefined,494,351,103,0,0,40,31/05/2019 17:47,5310547
53.482698,-2.337145,,0,1,1,1,-1,0,2,0,-1,0,-1,-2,-2,2,,5,4,5,5,M30 0AB,1,8,(s4) undefined,(s12) undefined,(s11) undefined,(s14) undefined,101,9,52,0,0,40,31/05/2019 18:01,5310601
53.5137687,-2.0432561,,0,-1,-1,1,-2,0,1,1,0,0,2,-1,-2,2,,5,4,5,7,OL5 0AL,1,2,(s11) undefined,(s14) undefined,(s13) undefined,(s5) undefined,96,27,59,0,0,25,01/06/2019 18:10,5314280
53.6041427,-2.1613903,,1,0,2,-2,-1,-1,-1,1,0,0,0,-2,2,1,,5,4,5,4,OL11 1QJ,1,2,(s3) undefined,(s13) undefined,(s12) undefined,(s4) undefined,58,9,87,0,0,34,02/06/2019 12:10,5315684
53.5795882,-2.4315629,,0,-1,2,1,1,-1,-2,0,1,2,0,0,-2,-1,,5,4,5,0,BL1 1BD,1,2,(s10) undefined,(s3) undefined,(s13) undefined,(s7) undefined,115,10,58,0,0,48,02/06/2019 11:50,6021150
53.5747253,-1.9937559,,-1,-1,0,1,-2,0,1,-1,-2,0,0,2,2,1,,5,4,5,3,OL3 5LP,1,2,(s12) undefined,(s13) undefined,(s5) undefined,(s9) undefined,115,26,57,0,0,31,02/06/2019 12:07,6021207
53.4416763,-2.27852,,2,-2,0,0,1,0,0,-2,-1,1,2,-1,1,-1,,5,6,3,2,M21 9DB,0,0,(s1) undefined,(s11) undefined,(s8) undefined,(s2) undefined,281,55,101,0,0,125,14/06/2019 14:38,6140238
53.4714397,-2.2411662,,0,0,-2,2,1,0,-1,-1,1,2,0,1,-1,-2,,5,5,4,2,M1 5GD,1,0,(s4) undefined,(s10) undefined,(s3) undefined,(s14) undefined,415,51,94,0,0,270,17/07/2019 14:03,7170203
53.4521876,-2.276521,,2,-2,-2,-1,0,-1,-1,0,1,0,1,2,1,0,,7,4,3,8,M16 0FP,0,2,(s1) undefined,(s12) undefined,(s3) undefined,(s2) undefined,1008,786,200,0,0,22,17/07/2019 14:26,7170226
53.4416763,-2.27852,,0,0,-2,1,-2,-1,0,2,-1,2,1,0,1,-1,,5,4,5,2,M21 9DB,2,0,(s8) undefined,(s10) undefined,(s5) undefined,(s3) undefined,94,23,25,0,0,46,17/07/2019 10:48,7171048
53.4714397,-2.2411662,,1,-1,1,0,1,0,0,-2,-1,-1,0,2,2,-2,,4,6,4,2,m15gd,0,1,(s12) undefined,(s13) undefined,(s14) undefined,(s8) undefined,263,141,92,0,0,31,31/07/2019 16:18,7310418
53.466681,-2.2335952,,0,0,0,-1,1,0,-2,1,0,-1,-1,-2,2,2,1,5,5,5,2,m13 9pl,1,4,(s13) undefined,(s14) undefined,(s7) undefined,(s12) undefined,41,8,23,0,0,11,05/09/2019 10:52,9051052
53.466681,-2.2335952,,0,-2,0,0,-1,1,1,-2,1,2,-1,-1,2,0,0,5,5,5,2,m139pl,1,4,(s10) undefined,(s13) undefined,(s2) undefined,(s8) undefined,44,5,24,0,0,15,05/09/2019 11:28,9051128
53.466681,-2.2335952,,2,-1,-1,-2,1,2,-2,0,0,0,1,1,0,-1,0,5,5,5,2,m13 9pl,1,3,(s6) undefined,(s1) undefined,(s7) undefined,(s4) undefined,301,7,281,0,0,13,06/09/2019 13:49,9060149
53.466681,-2.2335952,,2,-2,0,0,-1,1,0,2,0,0,-2,1,-1,-1,1,5,5,5,2,M13 9PL,1,4,(s1) undefined,(s8) undefined,(s2) undefined,(s11) undefined,42,6,22,0,0,14,06/09/2019 13:53,9060153
53.466681,-2.2335952,,1,-2,0,-1,2,-1,1,0,2,0,-2,0,-1,0,1,5,5,5,2,m139pl,1,4,(s9) undefined,(s5) undefined,(s2) undefined,(s11) undefined,40,6,24,0,0,10,06/09/2019 13:54,9060154
53.4645194,-2.2676913,,0,-2,0,2,-2,-1,1,1,0,0,1,-1,2,0,-1,6,5,4,8,M16 9GZ,1,4,(s4) undefined,(s13) undefined,(s5) undefined,(s2) undefined,148,59,63,0,0,26,06/09/2019 12:04,9061204
53.4962052,-2.3312777,,1,-2,-1,0,1,0,-1,-1,0,0,2,2,0,-2,1,6,5,4,5,M3 5,1,4,(s11) undefined,(s12) undefined,(s2) undefined,(s14) undefined,342,143,164,0,0,35,12/09/2019 14:56,9120256
53.4962257,-2.3309344,,1,-2,-1,1,0,-1,-2,1,0,0,0,2,2,0,-1,7,3,5,5,M6,1,2,(s12) undefined,(s13) undefined,(s7) undefined,(s2) undefined,140,68,60,0,0,12,12/09/2019 11:45,9121145
53.466681,-2.2335952,,1,2,2,1,0,1,-1,-1,0,-1,0,-2,0,-2,0,5,5,5,2,M13 9PL,1,4,(s3) undefined,(s2) undefined,(s12) undefined,(s14) undefined,140,28,73,0,0,39,13/09/2019 12:18,9131218
53.466681,-2.2335952,,0,-1,-1,0,-1,2,0,-2,1,-2,2,1,0,0,1,5,5,5,2,m13 9pl,0,1,(s6) undefined,(s11) undefined,(s8) undefined,(s10) undefined,36,6,20,0,0,11,10/10/2019 12:42,10101242
53.466681,-2.2335952,,0,-1,-1,0,-1,2,0,-2,1,-2,2,1,0,0,1,5,5,5,2,m13 9pl,0,1,(s6) undefined,(s11) undefined,(s8) undefined,(s10) undefined,36,6,20,0,0,11,10/10/2019 12:42,10101242
53.4416763,-2.27852,,0,0,-2,-1,2,-2,-1,0,1,0,1,1,2,0,-1,6,5,4,2,M21 9DB,0,5,(s5) undefined,(s13) undefined,(s6) undefined,(s3) undefined,964,161,196,0,0,607,17/10/2019 19:27,10170727
53.4091435,-2.1474834,,0,0,2,-1,0,1,-2,0,-1,-1,1,1,2,-2,0,3,7,5,6,SK1 9DB,1,5,(s13) undefined,(s3) undefined,(s14) undefined,(s7) undefined,166,69,67,0,0,30,17/10/2019 19:34,10170734
53.466681,-2.2335952,,-2,1,1,0,1,-2,0,-1,0,0,2,2,0,-1,-1,4,6,5,2,M13 9PL,1,0,(s12) undefined,(s11) undefined,(s6) undefined,(s1) undefined,383,29,30,0,0,325,18/10/2019 19:34,10180734
53.68,-2.72,,0,1,-1,-2,1,-1,-1,0,-2,0,2,0,2,0,1,5,5,5,4,HD8 6BN,1,4,(s13) undefined,(s11) undefined,(s4) undefined,(s9) undefined,39,6,22,0,0,11,19/10/2019 13:36,10190136
53.68,-2.72,,-1,0,-1,0,0,2,1,2,-2,1,1,-2,0,-1,0,4,6,5,7,HD8 6BN,1,4,(s6) undefined,(s8) undefined,(s12) undefined,(s9) undefined,41,5,20,0,0,16,19/10/2019 14:11,10190211
53.68,-2.72,,-1,-2,0,1,2,0,-2,-1,-1,2,0,0,0,1,1,4,5,6,7,,1,4,(s5) undefined,(s10) undefined,(s7) undefined,(s2) undefined,36,7,19,0,0,10,19/10/2019 12:20,10191220
53.68,-2.72,,0,0,-1,-1,1,0,-2,2,-1,1,1,0,0,-2,2,5,5,5,2,M13 9PL,1,4,(s15) undefined,(s8) undefined,(s7) undefined,(s14) undefined,42,6,22,0,0,14,20/10/2019 07:46,10200746
53.68,-2.72,, 0,-1, 0,-1,+1, 0,+1, 0, 0,+2,-1,+1,-2,-2,+2,2,7,6,2,,1,4,(s10) undefined,(s15) undefined,(s14) undefined,(s13) undefined,42,6,22,0,0,13,2019-10-22 13:53:04,10220153,
53.68,-2.72,, 0, 0,+1, 0,+1,+1, 0,-1,+2,-1, 0,+2,-1,-2,-2,5,5,5,3,,1,4,(s12) undefined,(s9) undefined,(s15) undefined,(s14) undefined,36,5,22,0,0,9,2019-10-22 13:56:48,10220156,
